team_name_github,rev_1,rev_2
alpha_equals_one,seven,sealteam6
2cool4school,alpha_equals_one,seven
ggplot3,2cool4school,alpha_equals_one
cuatro,ggplot3,2cool4school
cinco,cuatro,ggplot3
sealteam6,cinco,cuatro
seven,sealteam6,cinco
blue_squirrels,whos_your_data,suffer
stats_r_us,blue_squirrels,whos_your_data
team300,stats_r_us,blue_squirrels
geom_slay,team300,stats_r_us
suffer,geom_slay,team300
whos_your_data,suffer,geom_slay
cool_kids,seven_wonders,mines_minions
meteors,cool_kids,seven_wonders
green_team,meteors,cool_kids
fantastic_four,green_team,meteors
theta_five,fantastic_four,green_team
mines_minions,theta_five,fantastic_four
seven_wonders,mines_minions,theta_five
merge_conflicts,group_by_6,git_freaky
quart_2,merge_conflicts,group_by_6
git_real,quart_2,merge_conflicts
kameron_crazies,git_real,quart_2
git_freaky,kameron_crazies,git_real
group_by_6,git_freaky,kameron_crazies
women_in_tech,split_ends,super_raspberries
stats_sisters,women_in_tech,split_ends
the_outliers,stats_sisters,women_in_tech
duke_data_devils,the_outliers,stats_sisters
super_raspberries,duke_data_devils,the_outliers
split_ends,super_raspberries,duke_data_devils
